word,freq
,1245
generate,523
ai,522
images,567
with,2303
yourown,522
selfies,938
say,126
youve,308
got,263
this,994
picture,162
a,5284
great,220
aesthetic,30
there,346
are,1025
some,578
beautiful,42
landscapes,2
in,2172
the,6558
background,192
and,4047
your,4340
outfit,79
is,1770
so,676
good,422
it,1574
needs,48
to,5617
be,949
forever,15
enshrined,1
on,1383
internet,10
an,507
ootd,13
post,519
hair,765
moment,47
trouble,4
light,194
wasnt,9
when,486
you,4576
took,24
frontfacing,13
camera,252
kinda,14
crappy,3
yeet,2
or,1179
not,647
that,1628
question,18
here,248
at,493
facetune,1362
we,480
dont,620
have,777
throw,53
out,645
tweaking,5
our,237
new,163
mix,294
match,317
digital,299
makeup,548
feature,90
can,1265
go,287
back,178
retouch,33
without,150
mess,16
stress,8
add,241
lipstick,55
photos,320
freckles,21
for,2389
fun,138
look,721
friends,108
will,531
think,129
went,12
all,670
day,217
what,444
once,88
only,170
available,22
facetunes,24
video,453
editor,68
now,192
accessed,1
free,51
photo,499
as,559
well,174
previously,4
app,250
users,33
could,133
play,77
called,13
paint,27
touch,50
up,591
mere,10
tap,47
apply,64
full,74
face,373
of,2904
even,313
more,963
ease,8
variety,19
selfie,2056
one,517
youll,249
access,12
just,677
like,636
would,102
other,228
options,93
simply,78
icon,11
select,101
youd,31
work,144
first,133
included,5
contour,21
blush,20
eyes,240
few,158
things,117
know,316
glowup,7
less,65
effort,26
than,250
ever,102
before,185
past,18
apps,79
tools,92
required,8
struggle,11
application,9
layering,2
right,383
theres,193
no,340
zooming,2
eyeshadow,16
instant,12
hard,94
part,62
done,58
single,29
need,300
do,416
choose,116
shades,37
tool,152
automatically,23
populate,1
color,256
spot,29
then,170
set,47
intensity,33
easy,170
toggle,1
slider,35
fix,40
mistakes,4
undo,14
arrows,1
if,1277
change,111
never,98
fear,12
extra,74
taps,22
make,614
process,13
foolproof,2
plus,38
its,752
fast,18
way,284
try,297
bunch,18
colors,68
who,209
knows,25
may,114
discover,4
shade,46
pick,87
next,143
sephora,5
trip,14
remember,63
keep,173
natural,165
reality,13
havent,22
uploaded,2
souls,1
metaverse,1
yet,54
still,159
adapt,1
human,21
form,24
beauty,104
take,442
easiest,14
achieve,16
reallife,5
also,292
confidently,3
allout,4
costume,3
foresight,1
bit,122
aid,1
final,17
transformation,8
use,605
precise,6
how,458
different,135
from,429
sure,301
lot,107
competitors,1
editing,189
game,66
but,1080
reasons,20
others,42
cant,130
compete,2
overall,22
best,644
cost,7
streamlined,2
design,14
features,98
has,242
corner,34
filters,391
many,121
editors,3
filter,71
means,94
they,375
give,192
little,333
control,32
over,186
placement,4
customization,2
generic,13
gives,53
