word,freq
ai,522
selfies,938
background,192
hair,765
light,194
makeup,548
lipstick,55
face,373
selfie,2056
contour,21
blush,20
color,256
fix,40
colors,68
filters,391
filter,71
styles,10
celebrities,18
instagram,438
effect,57
share,95
comments,12
social_media,80
tone,22
fashion,58
smooth,54
blemishes,29
lights,23
watch,20
magic,35
effects,20
overlay,6
adjust,37
retro,8
style,56
vignette,4
light_leak,2
enhance,9
skin_tone,13
faces,19
auto,5
brighten,19
skin,215
clothes,30
sparkle,20
tune,12
saturation,8
mirror,202
scene,5
frame,46
photography,135
height,7
accessories,15
shoes,31
remove,73
removal,9
memes,9
snapchat,7
live,38
music,25
kid,5
blemish,15
experimenting,5
tiktok,105
animations,2
frames,9
community,4
challenges,14
howto,2
body_shaper,1
redeye,6
nose,30
sky,83
smile,134
lips,76
acne,10
text,12
reshape,16
pastel,3
accessory,1
brush,33
fit,19
cards,7
perspective,4
wrinkles,20
crop,10
celebrity,21
film,27
bags,7
red_eye,7
blur,18
nails,22
nail,60
oil,21
jewelry,5
challenge,28
facebook,44
count,15
wedding,9
portrait,18
hdr,2
kids,2
eyelids,2
tutorials,10
tattoos,7
smoother,6
repair,2
eye_bags,9
palette,5
tutorial,9
eyelid,1
blending,2
emojis,5
emoji,8
drawing,5
meme,4
tall,6
tattoo,15
brushes,7
noses,2
lens_flare,1
logo,1
dark_circle,1
cutout,2
weddings,1
glasses,11
rotate,1
scratch,2
banner,1
instafit,1
shoe,15
portraits,5
eye_bag,1
bag,5
history,7
taller,2
remix,1
fonts,1
collage,1
templates,1
